       x:          approx:          exact:          
     0.54045954     0.45506912     -5.0800515
     0.54145854     0.45411486     -5.0800515
     0.54245754     0.45316015     -5.0800515
     0.54345654     0.45220500     -5.0800516
     0.54445554     0.45124941     -5.0800516
     0.54545455     0.45029340     -5.0800516
     0.54645355     0.44933695     -5.0800516
     0.54745255     0.44838009     -5.0800516
     0.54845155     0.44742281     -5.0800516
     0.54945055     0.44646511     -5.0800516
     0.55044955     0.44550700     -5.0800516
     0.55144855     0.44454849     -5.0800516
     0.55244755     0.44358957     -5.0800516
     0.55344655     0.44263025     -5.0800516
     0.55444555     0.44167055     -5.0800516
     0.55544456     0.44071045     -5.0800516
     0.55644356     0.43974996     -5.0800516
     0.55744256     0.43878910     -5.0800516
     0.55844156     0.43782785     -5.0800516
     0.55944056     0.43686623     -5.0800516
     0.56043956     0.43590424     -5.0800516
     0.56143856     0.43494188     -5.0800516
     0.56243756     0.43397916     -5.0800516
     0.56343656     0.43301607     -5.0800516
     0.56443556     0.43205263     -5.0800516
     0.56543457     0.43108884     -5.0800516
     0.56643357     0.43012470     -5.0800516
     0.56743257     0.42916021     -5.0800516
     0.56843157     0.42819538     -5.0800516
     0.56943057     0.42723021     -5.0800516
     0.57042957     0.42626470     -5.0800516
     0.57142857     0.42529887     -5.0800516
     0.57242757     0.42433270     -5.0800516
     0.57342657     0.42336620     -5.0800516
     0.57442557     0.42239939     -5.0800516
     0.57542458     0.42143225     -5.0800516
     0.57642358     0.42046480     -5.0800516
     0.57742258     0.41949704     -5.0800516
     0.57842158     0.41852896     -5.0800516
     0.57942058     0.41756058     -5.0800516
     0.58041958     0.41659189     -5.0800516
     0.58141858     0.41562291     -5.0800516
     0.58241758     0.41465362     -5.0800516
     0.58341658     0.41368404     -5.0800516
     0.58441558     0.41271417     -5.0800516
     0.58541459     0.41174401     -5.0800516
     0.58641359     0.41077356     -5.0800516
     0.58741259     0.40980283     -5.0800516
     0.58841159     0.40883182     -5.0800516
     0.58941059     0.40786053     -5.0800516
     0.59040959     0.40688897     -5.0800516
     0.59140859     0.40591713     -5.0800516
     0.59240759     0.40494503     -5.0800516
     0.59340659     0.40397265     -5.0800516
     0.59440559     0.40300002     -5.0800516
     0.59540460     0.40202712     -5.0800516
     0.59640360     0.40105396     -5.0800516
     0.59740260     0.40008055     -5.0800516
     0.59840160     0.39910688     -5.0800516
     0.59940060     0.39813296     -5.0800516
     0.60039960     0.39715879     -5.0800516
     0.60139860     0.39618438     -5.0800516
